"id","Plu","Type","Category","Commodity","Variety","Size","Measures_na","Measures_row","Restrictions","Botanical","Aka","Status","Link","Notes","Updated_by","Updated_at","Created_at","Deleted_at","Language"
"527","4045","Global","Fruits","CHERRIES","Regular/Red/Black","    All Sizes    ","","","This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.","Prunus avium","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"528","4046","Global","Fruits","AVOCADOS","Hass","Small","60 size and smaller","Average Fruit Weight = less than 190g","","Persea americana","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"529","4047","Global","Fruits","GRAPEFRUIT","Ruby/Red/Pink (Includes Ray Ruby, Ruby, Ruby Red)","Small","40 size and smaller","Average Fruit Dimensions = less than 97mm","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:08:56","2002-06-01 22:00:00","","EN"
"530","4048","Global","Fruits","LIMES","Regular (incl. Persian, Tahiti & Bearss)"," All Sizes ","","","","Citrus latifolia","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"531","4049","Global","Fruits","MELON","Cantaloupe/Rockmelon","Small","15 size and smaller (Original size break was 18 size and smaller) 2 year transition period for this change to be official. New size official as of 5/2007.","Average Fruit Weight =  less than 1135g","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:08:56","2005-05-22 22:00:00","","EN"
"532","4050","Global","Fruits","MELON","Cantaloupe/Rockmelon","Large","12 size and larger  (Original size break was 15 size and larger) 2 year transition period for this change to be official. New size official as of 5/2007.","Average Fruit Weight =  1135g and above","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:08:56","2005-05-22 22:00:00","","EN"
"533","4051","Global","Fruits","MANGO","Red (Includes Tommy Atkins, Kent, Palmer, Vandyke, Edward,Hayden)","Small","12 size and smaller","","","Mangifera indica","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"534","4052","Global","Fruits","PAPAYA/PAWPAW","Regular","Small","10 size and smaller","","","Carica papaya","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"535","4053","Global","Fruits","LEMONS","","Large","115 size and larger","Average Fruit Dimensions = 65mm and above","","Citrus limon","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"536","4054","Global","Fruits","BERRIES","Raspberries - Red","  All Sizes  ","","","","Rubus idaeus","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"537","4055","Global","Fruits","TANGERINES/MANDARINS","","All Sizes","","","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
